value
"OID,DATE,CUSTOMER_ID,AMOUNT"
"102,2009-10-08 00:00:00,3,3000"
"100,2009-10-08 00:00:00,3,1500"
"101,2009-11-20 00:00:00,2,1560"
"103,2008-05-20 00:00:00,4,2060"
"102,2009-10-08 00:00:00,1,3000"
"100,2009-10-08 00:00:00,2,1500"
"101,2009-11-20 00:00:00,5,1560"
"103,2008-05-20 00:00:00,20,2060"
"102,2009-10-08 00:00:00,30,3000"
"100,2009-10-08 00:00:00,4,1500"
"101,2009-11-20 00:00:00,2,1560"
"103,2008-05-20 00:00:00,4,2060"
"102,2009-10-08 00:00:00,3,3000"
"100,2009-10-08 00:00:00,3,1500"
"101,2009-11-20 00:00:00,2,1560"
"103,2008-05-20 00:00:00,4,2060"
"102,2009-10-08 00:00:00,3,3000"
"100,2009-10-08 00:00:00,3,1500"
"101,2009-11-20 00:00:00,2,1560"
"103,2008-05-20 00:00:00,4,2060"
"102,2009-10-08 00:00:00,50,3000"
"100,2009-10-08 00:00:00,51,1500"
"101,2009-11-20 00:00:00,52,1560"
"103,2008-05-20 00:00:00,54,2060"
"102,2009-10-08 00:00:00,53,3000"
"100,2009-10-08 00:00:00,53,1500"
"101,2009-11-20 00:00:00,52,1560"
"103,2008-05-20 00:00:00,54,2060"
"102,2009-10-08 00:00:00,53,3000"
"100,2009-10-08 00:00:00,53,1500"
"101,2009-11-20 00:00:00,52,1560"
"103,2008-05-20 00:00:00,54,2060"
"102,2009-10-08 00:00:00,53,3000"
"100,2009-10-08 00:00:00,53,1500"
"101,2009-11-20 00:00:00,52,1560"
"103,2008-05-20 00:00:00,54,2060"
"102,2009-10-08 00:00:00,53,3000"
"100,2009-10-08 00:00:00,53,1500"
"101,2009-11-20 00:00:00,52,1560"
"103,2008-05-20 00:00:00,54,2060"
